"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"ATL",14,168,0.923076923076923,9,9,1,14,5,2,11,0.0828402366863905,0.0828402366863905,0.0770855087597168,0.0770855087597168,0.00312917139840217,0.0767667085717633,1,0,1,0,1,0,0,2.09412859068013,2.23357239822643,2.25094873831397,"2020-21"
"BOS",19,280,0.818713450292398,9,9,1,19,5,2,11,0.191358024691358,0.191358024691358,0.159847715354962,0.159439117422209,0.0117933736501915,0.1685288187093,2,0.0283418367346939,1,0,2,0.0312861526080177,0.0312861526080177,4.36951889029965,4.44095340816256,3.50050054242933,"2020-21"
"BKN",22,250,0.541125541125541,3,3,1,22,5,7,10,0.380952380952381,0.380952380952381,0.237624097704373,0.233054268293595,0.0957813233898405,0.361159850260134,3,0.058536,8,0.00775999999999999,2,0.0936279296875,0.0936279296875,10.6462139708901,10.8136888195395,3.92287432064774,"2020-21"
"CHA",14,137,0.752747252747253,5,5,1,14,5,3,9,0.266272189349112,0.266272189349112,0.211346871355207,0.213125072514213,0.0546104536489152,0.227888146874516,2,0.0910011188662156,4,0.0296765943843571,2,0.0888712557032335,0.0910011188662156,7.09680947594181,7.00678868496704,7.47343230397594,"2020-21"
"CHI",20,299,0.786842105263158,9,9,1,20,5,3,12,0.224376731301939,0.224376731301939,0.187916065000791,0.187386256915343,0.0174620188470604,0.196074573977094,2,0.0377176989071711,4,0.0050558718582566,2,0.0434666666666667,0.0434666666666667,5.99207283288919,6.04766783622896,4.46174772335438,"2020-21"
"CLE",22,327,0.707792207792208,8,8,1,22,5,4,11,0.306122448979592,0.306122448979592,0.22900536171927,0.22883226426597,0.030917467516107,0.256414366421551,2,0.0251194717990442,4,0.0100159919198721,2,0.0606038072575848,0.0606038072575848,8.12056513403398,8.08533742163498,5.30784365263707,"2020-21"
"DAL",18,255,0.833333333333333,8,8,1,18,5,3,11,0.176470588235294,0.176470588235294,0.158707564279765,0.157550145846805,0.0135384835752483,0.155745409596,2,0.0193771626297578,4,0.00501345636293749,2,0.047821044921875,0.047821044921875,5.81706082559702,5.97878917375884,6.16934536815257,"2020-21"
"DEN",19,256,0.748538011695906,0,0,1,19,5,4,12,0.265432098765432,0.20679012345679,NA,0.163595435368311,0.0460378688728362,0.19430143436644,3,0.007049560546875,2,0,2,0.0330291551882461,0.0330291551882461,15.6803193523768,15.7295391069078,14.2301037342085,"2020-21"
"DET",20,327,0.860526315789474,11,11,1,20,5,3,14,0.146814404432133,0.146814404432133,0.125647614169835,0.127006158561018,0.00639119694983037,0.133742763927559,2,0.0126251998989984,1,0,2,0.0238095238095238,0.0238095238095238,4.71848916450006,4.91778701526238,5.0265645411645,"2020-21"
"GSW",15,166,0.79047619047619,4,4,1,15,5,4,10,0.224489795918367,0.224489795918367,0.175050702099021,0.179719170276806,0.0364992150706436,0.179708180186263,1,0,1,0,2,0.0158730158730158,0.0158730158730158,7.29669697900332,7.32451294951476,6.5441650482479,"2020-21"
"HOU",22,306,0.662337662337662,3,3,1,22,5,4,11,0.303854875283447,0.353741496598639,0.212016199541734,0.260966977084465,0.0497385368473804,0.290856068419893,2,0.070720662992866,9,0.0262933059934213,2,0.104515943458251,0.104515943458251,12.4556126842888,12.3346986004302,10.6845581132108,"2020-21"
"IND",15,164,0.780952380952381,3,3,1,15,5,5,10,0.158163265306122,0.158163265306122,0.112383327456857,0.116843998364896,0.0274865440681767,0.167948314153812,2,0.0603621356335515,1,0,2,0.0603861228044709,0.0603861228044709,8.40479708938089,8.433395320103,8.33296514044035,"2020-21"
"LAC",19,249,0.728070175438596,3,3,1,19,5,3,11,0.287037037037037,0.287037037037037,0.217548565584131,0.219249852309572,0.0505019243445169,0.235904003964374,3,0.0459105498298415,5,0.015741681585781,2,0.046875,0.046875,9.33611021169354,9.36011215685047,7.83265515731777,"2020-21"
"LAL",14,138,0.758241758241758,4,4,1,14,5,3,9,0.260355029585799,0.260355029585799,0.208019105077929,0.210733796647109,0.0506958141573526,0.225258536948107,2,0.06196177273682,1,0,2,0.0544192841490139,0.06196177273682,4.57972379697916,4.94454344785024,4.96222654674329,"2020-21"
"MEM",17,242,0.889705882352941,9,9,1,17,5,0,0,0.12109375,0.12109375,0.105869406305619,0.104926945988159,0.00605844242562993,0.168825009799988,1,0.00411515606857458,1,0,3,0.0150703946063851,0.0150703946063851,2.46622710579565,2.62241802953966,4.84030985571772,"2020-21"
"MIA",18,210,0.686274509803922,1,1,1,18,5,5,10,0.332179930795848,0.269896193771626,0.24135795992682,0.180841243629978,0.134206623826001,0.247638171474258,1,0,1,0,3,0.0333933470507545,0.0333933470507545,10.8930512921624,11.1087091463194,8.60015881865753,"2020-21"
"MIL",18,198,0.647058823529412,4,4,1,18,5,5,10,0.311418685121107,0.311418685121107,0.219472906507501,0.216736406039017,0.0509546465645082,0.296418503758342,2,0.113661871237629,4,0.00076522803795509,2,0.103826939391083,0.113661871237629,8.82795921062372,8.68110690626428,7.02725597029622,"2020-21"
"MIN",14,177,0.972527472527473,10,10,1,14,5,2,12,0.029585798816568,0.029585798816568,0.0287968441814596,0.0273668639053254,0.000860677783754707,0.0270047515526931,1,0,1,0,1,0,0,9.05652920343671,9.05652920343671,9.05652920343671,"2020-21"
"NOP",20,270,0.710526315789474,3,3,1,20,5,2,10,0.193905817174515,0.249307479224377,0.134014393274237,0.181730614674669,0.0432384123519857,0.221345931681996,2,0.0418038408779149,3,0.0031001371742112,2,0.0636479591836735,0.0636479591836735,9.37050597990651,9.49159065301727,8.32507730996915,"2020-21"
"NYK",17,199,0.731617647058823,5,5,1,17,5,4,10,0.28515625,0.28515625,0.221527216083137,0.223743648053574,0.0300526397792023,0.234928918799389,2,0.0494810737102598,5,0.0236105148859877,2,0.0510088217311555,0.0510088217311555,8.12011946434723,8.26602971900236,7.67912871567114,"2020-21"
"OKC",20,288,0.757894736842105,7,7,1,20,5,3,11,0.254847645429363,0.254847645429363,0.199150633591741,0.199264289621327,0.0253774388123419,0.222493655935023,2,0.0377061631944444,5,0.00669126157407403,2,0.0743014974433894,0.0743014974433894,8.74016655502389,8.52627238986963,8.05866326964559,"2020-21"
"ORL",26,402,0.618461538461539,8,8,1,26,5,4,11,0.3968,0.3552,0.281452689482891,0.244548080268951,0.0474596705146705,0.328884629304615,2,0.10710130937353,3,0.00179451003688025,2,0.131656804733728,0.131656804733728,12.3789578191861,12.1885816328115,8.81384669519776,"2020-21"
"PHI",21,253,0.602380952380952,3,3,1,21,5,6,11,0.4175,0.365,0.293617271441603,0.242271521581867,0.0972777113237639,0.337834087771441,3,0.0728491305910106,8,0.035651236544861,3,0.120837808807734,0.120837808807734,11.6177253109715,11.8100885390456,8.99302484102337,"2020-21"
"PHX",14,161,0.884615384615385,7,7,1,14,5,2,10,0.124260355029586,0.124260355029586,0.109712070232432,0.108901692100073,0.00847852290159982,0.110485365882641,1,0,2,0.00162030785849328,2,0.00602409638554217,0.00602409638554217,4.023559842298,4.13552111693229,4.19671300363362,"2020-21"
"POR",13,117,0.75,4,4,1,13,5,2,7,0.270833333333333,0.270833333333333,0.229866793208511,0.224597338935574,0.0499338624338624,0.236501427986072,2,0.0433559792534151,4,0.0108846519102929,2,0.04875,0.04875,3.44449796986863,3.59238439952971,3.43803856508225,"2020-21"
"SAC",23,313,0.618577075098814,1,1,1,23,5,4,11,0.351239669421488,0.303719008264463,0.242534310717855,0.204261786115292,0.0634575531814432,0.316205008429027,3,0.108223009319274,10,0.0122793945023426,2,0.108270431122079,0.108270431122079,13.10752008639,13.4722216364801,11.2168488419723,"2020-21"
"SAS",17,245,0.900735294117647,11,11,1,17,5,1,12,0.10546875,0.10546875,0.0931488878446115,0.0948360484544695,0.00374694605163355,0.096151792087161,1,0,1,0,2,0.00332799999999999,0.00332799999999999,2.271074770023,2.37207857248757,2.0717891956056,"2020-21"
"TOR",20,313,0.823684210526316,8,8,1,20,5,4,13,0.185595567867036,0.185595567867036,0.153172446046646,0.154468790355695,0.0151478083149367,0.156968137426496,2,0.0195929324582266,6,0.00251099837703783,2,0.0481385601577909,0.0481385601577909,9.02059951846876,9.02059951846876,8.51304347920019,"2020-21"
"UTA",17,205,0.753676470588235,6,6,1,17,5,4,11,0.26171875,0.26171875,0.210105479752576,0.206637710552542,0.037070418007918,0.23020905880683,3,0.0335871505056514,2,0.0323616894705532,2,0.0778670626255568,0.0778670626255568,7.18752139194105,7.39532608486466,7.43965569202563,"2020-21"
"WAS",16,203,0.845833333333333,7,7,1,16,5,3,10,0.164444444444444,0.164444444444444,0.139368359414126,0.141504001549768,0.0137519411805126,0.137763764463768,1,0,1,0,2,0.0199923106497501,0.0199923106497501,5.0380552916491,5.11216886083653,4.19793560744747,"2020-21"
