"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"OKC","2023-24",15,90,0.428571428571429,0,0,4,12,5,4,7,0.38265306122449,0.306122448979592,NA,NA,0.0610492823503028,0.430223742457406,4,0,4,0,5,0.034152436484798,0.034152436484798,NA,NA,NA
"ORL","2023-24",14,112,0.615384615384615,1,1,1,14,5,3,7,0.414201183431953,0.331360946745562,0.293599171285525,0.228735771938087,0.134163877433108,0.32058574203954,2,0.0433673469387755,1,0,2,0.0902983069067455,0.0902983069067455,NA,NA,NA
"PHI","2023-24",13,83,0.532051282051282,0,0,2,12,5,5,7,0.416666666666667,0.416666666666667,NA,NA,0.15864898989899,0.393910110152149,4,0.00464508636957464,2,0,4,0.0348148148148148,0.0348148148148148,NA,NA,NA
"PHX","2023-24",14,88,0.483516483516484,0,0,2,13,5,3,6,0.473372781065089,0.473372781065089,NA,NA,0.238691650230112,0.424398868218598,3,0.0754132231404959,6,0.00322830578512408,3,0.0941602535083748,0.0941602535083748,NA,NA,NA
"POR","2023-24",10,69,0.766666666666667,5,5,1,10,5,1,5,0.259259259259259,0.259259259259259,0.215704049037382,0.218682552015885,0.0415564373897707,0.237406765813051,1,0,1,0,2,0.0555555555555556,0.0555555555555556,NA,NA,NA
"SAC","2023-24",14,84,0.461538461538462,0,0,2,13,5,6,6,0.497041420118343,0.497041420118343,NA,NA,0.169247205785667,0.44528837589845,3,0.0192743764172336,2,0,3,0.100981404958678,0.100981404958678,NA,NA,NA
"SAS","2023-24",12,99,0.75,2,2,1,12,5,3,7,0.173553719008264,0.173553719008264,0.117232767232767,0.11594370541739,0.0737662337662338,0.192019377612499,1,0,1,0,2,0.0230680507497117,0.0230680507497117,NA,NA,NA
"TOR","2023-24",17,109,0.400735294117647,0,0,1,17,5,4,5,0.4375,0.4375,NA,0.28553915749483,0.171006944444444,0.503273648610967,2,0.171029374631765,7,0.0186011278511911,2,0.19500594530321,0.19500594530321,NA,NA,NA
"UTA","2023-24",12,101,0.765151515151515,2,2,1,12,5,4,8,0.256198347107438,0.256198347107438,0.195336481700118,0.201373938004954,0.0622550177095632,0.204268978981183,1,0,1,0,2,0.010501957992168,0.010501957992168,NA,NA,NA
"WAS","2023-24",15,86,0.40952380952381,0,0,1,15,5,5,6,0.556122448979592,0.403061224489796,NA,0.310336697490997,0.174941130298273,0.479997725216936,4,0.000676041103299066,3,0,3,0.102647569444444,0.102647569444444,NA,NA,NA
"ATL","2024-25",12,64,0.484848484848485,2,2,1,12,5,4,5,0.56198347107438,0.56198347107438,0.37447782070636,0.373816407815845,0.22396694214876,0.470000801438939,2,0.06591796875,1,0,2,0.0995918367346938,0.0995918367346938,NA,NA,NA
"BOS","2024-25",11,74,0.672727272727273,1,1,1,11,5,3,6,0.36,0.36,0.266597021399653,0.266597021399653,0.229703703703704,0.274549544638509,1,0,1,0,2,0.0110803324099723,0.0110803324099723,NA,NA,NA
"BKN","2024-25",14,133,0.730769230769231,3,3,1,14,5,3,8,0.207100591715976,0.207100591715976,0.146295989498305,0.145328166471658,0.0565225728687267,0.224010695918599,3,2.3373116307898e-17,1,0,2,0.0378071833648393,0.0378071833648393,NA,NA,NA
"CHA","2024-25",13,79,0.506410256410256,1,1,1,13,5,2,5,0.444444444444444,0.444444444444444,0.278288003133204,0.289759407131782,0.131503527336861,0.427850495704956,1,0,1,0,3,0.070578691184424,0.070578691184424,NA,NA,NA
"CHI","2024-25",14,114,0.626373626373626,4,4,1,14,5,2,6,0.402366863905325,0.402366863905325,0.292310352318688,0.291475076483412,0.0948389217619987,0.345326766194593,2,0.0196983687288397,1,0,2,0.0723204994797086,0.0723204994797086,NA,NA,NA
"CLE","2024-25",15,101,0.480952380952381,0,0,2,14,5,5,7,0.479591836734694,0.479591836734694,NA,NA,0.2425431711146,0.426461441765224,3,0.0356337613959416,3,0.035682776198412,4,0.0720164609053498,0.0720164609053498,NA,NA,NA
"DAL","2024-25",14,91,0.5,0,0,2,13,5,5,7,0.455621301775148,0.455621301775148,NA,NA,0.148471400394477,0.418477491164187,3,0.09992754498249,6,0.00374350923801448,3,0.0989171178675552,0.09992754498249,NA,NA,NA
"DEN","2024-25",12,82,0.621212121212121,1,1,1,12,5,5,7,0.31404958677686,0.214876033057851,0.224793245969717,0.149175179825335,0.192561983471074,0.2843430957537,3,0.0401546698393813,1,0,2,0.055164954029205,0.055164954029205,NA,NA,NA
"DET","2024-25",13,92,0.58974358974359,0,0,1,13,5,3,6,0.354166666666667,0.263888888888889,NA,0.195229828042328,0.122632575757576,0.332108255722017,5,0.0310727788279773,4,0.0515122873345936,2,0.0798611111111111,0.0798611111111111,NA,NA,NA
"GSW","2024-25",16,163,0.679166666666667,5,5,1,16,5,3,8,0.342222222222222,0.342222222222222,0.25033733057747,0.26054402585295,0.0576840513983371,0.297389505283937,2,0.0909894990402348,1,0,2,0.0881886642885453,0.0909894990402348,NA,NA,NA
"HOU","2024-25",13,96,0.615384615384615,3,3,1,13,5,2,6,0.416666666666667,0.416666666666667,0.300675964830377,0.30004443297787,0.110190446127946,0.352998736897431,1,0,5,0.00488281250000006,2,0.0804556781772873,0.0804556781772873,NA,NA,NA
"IND","2024-25",12,99,0.75,1,1,1,12,5,3,8,0.272727272727273,0.272727272727273,0.20929070929071,0.213536463536464,0.194557260920897,0.202444558928026,1,0,1,0,2,0.0115340253748559,0.0115340253748559,NA,NA,NA
"LAC","2024-25",12,78,0.590909090909091,0,0,2,11,5,3,6,0.347107438016529,0.347107438016529,NA,NA,0.0997638724911452,0.345295495181098,2,0,2,0,3,0.0634920634920635,0.0634920634920635,NA,NA,NA
"LAL","2024-25",13,83,0.532051282051282,0,0,2,12,5,5,6,0.416666666666667,0.326388888888889,NA,NA,0.0886363636363636,0.378576924147361,4,0.0652489475976194,2,0,4,0.0813492063492063,0.0813492063492063,NA,NA,NA
"MEM","2024-25",12,98,0.742424242424242,1,1,1,12,5,4,8,0.28099173553719,0.28099173553719,0.211680298311314,0.221844821844822,0.125312868949233,0.221416141202906,1,0,1,2.22044604925031e-16,2,0.0199704142011835,0.0199704142011835,NA,NA,NA
"MIA","2024-25",15,121,0.576190476190476,0,0,2,14,5,4,7,0.377551020408163,0.377551020408163,NA,NA,0.068340248187187,0.361047562935367,2,0,2,0,3,0.0595730027548209,0.0595730027548209,NA,NA,NA
"MIL","2024-25",13,98,0.628205128205128,0,0,1,13,5,4,7,0.3125,0.3125,NA,0.260047486687912,0.0719681938431938,0.311860744640929,1,0,5,0.000832986255726809,3,0.0364275147928994,0.0364275147928994,NA,NA,NA
"MIN","2024-25",10,65,0.722222222222222,0,0,2,9,5,3,7,0.185185185185185,0.185185185185185,NA,NA,0.0138888888888889,0.206087410695375,2,0,2,0,2,0,0,NA,NA,NA
"NOP","2024-25",12,76,0.575757575757576,1,1,1,12,5,4,6,0.462809917355372,0.462809917355372,0.320961082261392,0.329997453526865,0.264132231404959,0.373497367586606,4,0.00934903047091415,1,0,3,0.0353955978584176,0.0353955978584176,NA,NA,NA
"NYK","2024-25",11,71,0.645454545454545,1,1,1,11,5,3,7,0.28,0.28,0.189067011419953,0.191277023629965,0.0967460317460317,0.276359810505989,3,0.000495933346558213,3,0.000595120015869699,2,0.025,0.025,NA,NA,NA
"OKC","2024-25",11,90,0.818181818181818,1,1,1,11,5,2,8,0.2,0.09,0.160952380952381,0.0770512820512821,0.0970793650793651,0.143371187704087,1,0,1,0,2,0.00499791753436071,0.00499791753436071,NA,NA,NA
"ORL","2024-25",13,90,0.576923076923077,1,1,1,13,5,5,7,0.458333333333333,0.368055555555556,0.321386676304482,0.240333063049781,0.244539141414141,0.337691440893989,1,0,1,0,2,0.0638216070742022,0.0638216070742022,NA,NA,NA
"PHI","2024-25",12,72,0.545454545454545,1,1,1,12,5,3,5,0.297520661157025,0.297520661157025,0.188861220156268,0.19499602564618,0.196446280991736,0.360955925425985,3,0.137056327160494,4,0.000385802469135887,2,0.147187728268809,0.147187728268809,NA,NA,NA
"PHX","2024-25",14,100,0.549450549450549,0,0,1,14,5,4,7,0.319526627218935,0.319526627218935,NA,0.260528823613441,0.116370808678501,0.35739617596331,4,0.01425,4,0.0144,2,0.0567817728729085,0.0567817728729085,NA,NA,NA
"POR","2024-25",12,83,0.628787878787879,2,2,1,12,5,3,7,0.40495867768595,0.40495867768595,0.286814812919513,0.296011676661832,0.154545454545455,0.323974764734781,2,0.0318623893163014,1,0,2,0.0746349378042185,0.0746349378042185,NA,NA,NA
"SAC","2024-25",15,79,0.376190476190476,0,0,4,12,5,6,7,0.362244897959184,0.285714285714286,NA,NA,0.0942475891455483,0.467462618991307,4,0,4,0,5,0.0725758477096966,0.0725758477096966,NA,NA,NA
"SAS","2024-25",15,112,0.533333333333333,0,0,2,14,5,6,7,0.423469387755102,0.423469387755102,NA,NA,0.153663938102714,0.381760486406259,3,0.0401785714285714,6,0.00589923469387765,3,0.0609020396437805,0.0609020396437805,NA,NA,NA
"TOR","2024-25",14,101,0.554945054945055,2,2,1,14,5,4,7,0.479289940828402,0.479289940828402,0.331138039433234,0.33102584549953,0.149621959237344,0.396455113912735,1,0,1,0,2,0.0804556781772873,0.0804556781772873,NA,NA,NA
"UTA","2024-25",11,63,0.572727272727273,2,2,1,11,5,4,5,0.47,0.47,0.326468253968254,0.332873482726424,0.182037037037037,0.382109920781096,1,0,1,0,3,0.05126953125,0.05126953125,NA,NA,NA
"WAS","2024-25",11,75,0.681818181818182,1,1,1,11,5,3,6,0.24,0.35,0.167344322344322,0.270360195360195,0.17837037037037,0.255858974412018,1,0,4,0.00462222222222208,2,0.0473372781065089,0.0473372781065089,NA,NA,NA
